"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"1",29.91,30.25,29.4,29.860001,76935100,21.962128
"2",29.700001,29.969999,29.440001,29.809999,45774500,21.92535
"3",29.629999,29.75,29.450001,29.639999,44607200,21.80031
"4",29.65,30.1,29.530001,29.93,50220200,22.013607
"5",30,30.18,29.73,29.959999,44636600,22.035681
"6",29.799999,29.889999,29.43,29.66,55017400,21.815023
"7",29.76,30.75,29.65,30.700001,99464300,22.579947
"8",30.65,31.389999,30.639999,31.209999,103972500,22.955053
"9",31.26,31.450001,31.030001,31.16,62379600,22.918283
"10",31.26,31.440001,31.01,31.1,58519600,22.874134
"11",31.15,31.370001,30.799999,31,56364300,22.800596
"12",30.73,31.110001,30.690001,31.110001,75826900,22.8815
"13",31.059999,31.120001,30.51,30.719999,56143900,22.59466
"14",30.629999,30.959999,30.52,30.74,49171200,22.609367
"15",30.780001,31.299999,30.65,31.09,58527800,22.866793
"16",31.08,31.48,30.450001,30.450001,97378700,22.39608
"17",31.219999,31.23,30.6,30.6,96103700,22.506399
"18",30.65,30.780001,30.34,30.530001,57605900,22.454912
"19",30.57,30.639999,30.139999,30.48,61900400,22.418129
"20",30.41,31.1,30.35,30.860001,73968400,22.697626
"21",30.84,30.940001,30.370001,30.559999,55355800,22.476982
"22",30.82,30.84,30.129999,30.190001,60401700,22.204836
"23",29.969999,30.02,29.41,29.610001,99102100,21.778252
"24",29.59,29.75,29.219999,29.51,79281100,21.704699
"25",29.639999,29.700001,29.25,29.370001,65145500,21.601725
"26",29.24,29.799999,29.200001,29.26,48749000,21.520817
"27",29.35,29.4,28.93,28.98,69823100,21.314877
"28",28.889999,29.09,28.83,28.940001,52774400,21.285463
"29",29.040001,29.200001,28.959999,29.01,50348100,21.410933
"30",29.17,29.690001,29.15,29.4,55588600,21.698769
"31",29.58,29.65,29.219999,29.459999,63858100,21.743055
"32",28.91,28.940001,28.65,28.74,109340300,21.211653
"33",28.629999,28.860001,28.469999,28.83,53978200,21.278084
"34",28.75,29.389999,28.74,29.35,68604900,21.661867
"35",29.309999,29.540001,29.16,29.389999,57754400,21.691391
"36",29.219999,29.280001,28.889999,28.9,63787100,21.329741
"37",28.959999,29.09,28.82,29.07,63481900,21.45521
"38",28.709999,28.969999,27.790001,27.870001,87143300,20.569548
"39",27.950001,28.25,27.92,28.17,86333300,20.79096
"40",27.82,28.33,27.73,28.09,80175700,20.731928
"41",28.02,28.16,27.76,27.76,63254700,20.488371
"42",27.49,27.91,27.41,27.549999,56454300,20.333374
"43",27.799999,27.940001,27.65,27.83,49361800,20.540024
"44",27.76,27.9,27.549999,27.610001,52044700,20.377661
"45",27.719999,27.85,26.6,27.32,72175200,20.16362
"46",27.42,27.48,27.030001,27.290001,80125000,20.141478
"47",27.18,27.48,27.129999,27.440001,36516400,20.252182
"48",27.25,27.4,26.709999,26.719999,75169500,19.720797
"49",26.82,27.4,26.73,27.4,75730300,20.22266
"50",27.32,27.469999,27.200001,27.280001,51757100,20.134106
"51",27.35,27.48,27.200001,27.33,65055300,20.171001
"52",27.34,27.83,27.200001,27.83,49412000,20.540024
"53",27.93,28.16,27.76,27.84,47902400,20.547401
"54",27.9,28.52,27.559999,28.52,72808200,21.049292
"55",28.52,28.549999,28.01,28.27,47934900,20.864769
"56",28.219999,28.27,27.799999,28.02,50519800,20.680252
"57",27.940001,28.219999,27.700001,28.219999,47491500,20.827869
"58",28.040001,28.16,27.65,27.719999,58979800,20.458839
"59",27.58,28,27.4,27.639999,46947000,20.399792
"60",27.84,27.85,27.49,27.75,42629900,20.480986
"61",27.75,27.950001,27.5,27.870001,47061000,20.569548
"62",27.889999,27.93,27.559999,27.74,41977600,20.473598
"63",27.860001,28.059999,27.75,27.870001,39821300,20.569548
"64",28.01,28.780001,27.9,28.5,63244200,21.034521
"65",28.32,28.65,28.299999,28.549999,30131200,21.071426
"66",28.58,28.719999,28.389999,28.57,31384600,21.086184
"67",28.5,28.639999,28.219999,28.4,38643100,20.960714
"68",28.299999,28.57,27.99,28.110001,44050200,20.746681
"69",28.059999,28.620001,28.040001,28.540001,43762100,21.064047
"70",28.43,28.700001,28.1,28.610001,36002900,21.115705
"71",28.6,28.75,28.209999,28.73,30740100,21.204269
"72",28.629999,28.889999,28.559999,28.85,33170200,21.292841
"73",28.610001,28.67,28.360001,28.6,41778400,21.10832
"74",28.34,28.889999,28.26,28.690001,43648800,21.174753
"75",28.98,29.1,28.700001,29.02,60311500,21.41832
"76",28.959999,28.99,28.67,28.780001,41739100,21.241173
"77",28.790001,28.959999,28.59,28.790001,34236700,21.24856
"78",28.860001,29,28.690001,28.99,39475000,21.396168
"79",29.09,29.35,28.91,29.1,68760300,21.477356
"80",30.17,30.74,30,30.120001,128298800,22.230167
"81",30.129999,30.370001,29.940001,29.940001,67788800,22.097322
"82",29.940001,30.42,29.9,30.4,73539300,22.436823
"83",30.389999,30.690001,30.299999,30.610001,80686700,22.591824
"84",30.6,31,30.530001,30.969999,82036800,22.857517
"85",30.68,30.700001,30.290001,30.559999,104385900,22.554914
"86",30.52,30.76,30.48,30.709999,59889100,22.665623
"87",30.68,30.940001,30.58,30.75,60551700,22.695143
"88",30.700001,30.93,30.57,30.780001,51735000,22.717285
"89",30.68,30.93,30.530001,30.58,55398600,22.569674
"90",30.57,30.98,30.549999,30.889999,43425300,22.798466
"91",30.84,30.99,30.809999,30.969999,70188500,22.857517
"92",30.9,31.09,30.84,30.9,75013900,22.879728
"93",31,31.09,30.809999,31.07,45833600,23.005596
"94",31.030001,31.139999,30.959999,30.98,41045600,22.938963
"95",30.969999,30.99,30.58,30.83,58453000,22.827892
"96",30.73,31.16,30.73,31.049999,41836400,22.990789
"97",30.9,30.93,30.66,30.690001,39999500,22.724237
"98",30.84,30.84,30.57,30.58,46322500,22.642786
"99",30.540001,30.799999,29.959999,30.17,64046400,22.339197
"100",30.280001,30.66,30.18,30.48,47726500,22.568743
"101",30.49,30.83,30.389999,30.790001,42373100,22.798286
"102",30.549999,31.129999,30.51,31.110001,57376800,23.035221
"103",31.120001,31.16,30.610001,30.690001,85290500,22.724237
"104",30.790001,30.9,30.549999,30.59,39469400,22.650187
"105",30.42,30.76,30.4,30.719999,41434500,22.746447
"106",30.620001,30.629999,30.33,30.58,44265000,22.642786
"107",30.370001,30.530001,30.25,30.290001,38217500,22.428061
"108",30.02,30.290001,29.59,29.620001,71971400,21.931953
"109",29.58,30.059999,29.41,30.049999,61346200,22.250355
"110",29.940001,30.25,29.93,30.02,48467400,22.228144
"111",29.959999,30.24,29.77,29.85,56981800,22.102262
"112",29.969999,30.41,29.85,30.389999,64435600,22.5021
"113",30.35,30.709999,30.299999,30.52,59065700,22.598354
"114",30.860001,30.879999,30.43,30.49,100933000,22.576143
"115",30.690001,30.719999,30.42,30.51,45412600,22.59095
"116",30.48,30.66,30.379999,30.459999,46802600,22.553928
"117",30.440001,30.51,29.959999,30.01,46861600,22.220734
"118",29.98,30.299999,29.91,30.219999,56564800,22.376225
"119",30,30.1,29.450001,29.49,86219900,21.835703
"120",29.469999,29.77,29.379999,29.49,53905800,21.835703
"121",29.549999,29.799999,29.5,29.52,48340300,21.85791
"122",29.360001,29.950001,29.360001,29.870001,53468600,22.117067
"123",29.860001,29.969999,29.68,29.83,46055200,22.087448
"124",29.870001,29.93,29.040001,29.469999,71193900,21.820898
"125",29.67,29.799999,29.49,29.74,47316000,22.020815
"126",29.790001,30.219999,29.780001,30.02,35202600,22.228144
"127",30.049999,30.219999,29.83,29.99,47838500,22.205923
"128",29.91,30.040001,29.66,29.969999,57541000,22.191113
"129",29.860001,29.950001,29.809999,29.870001,33831400,22.117067
"130",29.700001,29.99,29.18,29.33,66013500,21.717232
"131",29.24,29.65,29.209999,29.49,48017000,21.835703
"132",29.559999,30.110001,29.440001,30.07,54302400,22.265154
"133",29.940001,30.02,29.66,29.82,42173000,22.08005
"134",29.76,30.24,29.719999,30.030001,48023200,22.235538
"135",30.02,30.879999,30.01,30.780001,77539600,22.790876
"136",30.51,30.969999,30.5,30.92,64414400,22.894531
"137",31.049999,31.84,30.93,31.51,121159300,23.331402
"138",31.15,31.200001,30.790001,31.16,98292600,23.072241
"139",31.360001,31.52,31.120001,31.190001,48910600,23.094452
"140",31.01,31.48,30.709999,30.799999,59729300,22.805681
"141",30.99,31.299999,30.370001,30.709999,54950100,22.739044
"142",30.24,30.530001,29.51,29.98,87025300,22.198517
"143",29.93,30,29.360001,29.389999,69214600,21.761656
"144",29.41,29.49,28.950001,29.4,67499600,21.76906
"145",29.709999,29.719999,28.98,28.99,66554000,21.465479
"146",28.950001,29.549999,28.82,29.299999,80006300,21.695017
"147",29.190001,29.790001,29.02,29.52,47938300,21.85791
"148",29.450001,29.780001,28.9,28.959999,61535500,21.443266
"149",29.049999,29.540001,28.75,29.540001,59530500,21.87273
"150",29.33,29.790001,29.049999,29.549999,49163000,21.880129
"151",29.719999,30.01,29.209999,30,52898600,22.213329
"152",29.639999,30.1,28.92,29.299999,72964500,21.695017
"153",28.9,29.049999,28.26,28.709999,76576200,21.258146
"154",28.940001,28.99,28.440001,28.629999,55492300,21.198915
"155",28.77,28.889999,28.200001,28.27,42944100,21.00573
"156",28.24,28.99,28.049999,28.1,48117700,20.879417
"157",27.879999,28.35,27.51,27.809999,81447400,20.663925
"158",28.09,28.25,27.82,28.25,76747700,20.99087
"159",28.18,28.49,28.08,28.26,49952000,20.998295
"160",28.1,28.32,27.870001,28.07,50786200,20.857117
"161",28.27,28.32,28.01,28.219999,44763500,20.968571
"162",28.280001,28.33,28.1,28.299999,33886600,21.028021
"163",28.209999,28.84,28.07,28.809999,45158900,21.406975
"164",28.610001,28.77,28.4,28.49,32789500,21.169203
"165",28.299999,28.49,27.91,27.93,43924400,20.753098
"166",28.129999,28.610001,27.82,28.59,45753700,21.2435
"167",28.42,28.93,28.32,28.450001,33690700,21.139479
"168",28.700001,28.92,28.360001,28.73,42511900,21.347525
"169",28.5,29.1,28.48,28.809999,45689600,21.406975
"170",28.65,28.73,28.42,28.48,47669800,21.161764
"171",28.559999,29.01,28.549999,28.91,45430800,21.481277
"172",28.620001,28.83,28.32,28.440001,52160900,21.132051
"173",28.67,28.75,28.41,28.48,37247600,21.161764
"174",28.629999,28.950001,28.58,28.93,34380800,21.496138
"175",28.809999,29.17,28.799999,28.93,42364700,21.496138
"176",29.120001,29.26,28.959999,29.16,35288600,21.667027
"177",28.98,29.110001,28.879999,29.040001,33496600,21.577869
"178",28.790001,28.879999,28.620001,28.73,39536500,21.347525
"179",28.700001,28.969999,28.27,28.93,77462400,21.496138
"180",28.870001,28.91,28.299999,28.67,94242200,21.302942
"181",28.48,28.58,28.34,28.42,67168900,21.117189
"182",28.690001,28.809999,28.440001,28.65,135636100,21.28809
"183",28.809999,29.610001,28.799999,29.08,104459800,21.607588
"184",29.139999,29.559999,29.110001,29.559999,75621000,21.964252
"185",29.68,29.85,29.48,29.5,60337000,21.919666
"186",29.700001,29.719999,29.440001,29.49,43407100,21.912239
"187",29.49,29.690001,29.23,29.459999,45819100,21.88994
"188",29.459999,29.790001,29.41,29.77,43875100,22.120289
"189",29.700001,29.85,29.57,29.700001,33700900,22.068274
"190",29.709999,29.85,29.290001,29.450001,37633900,21.882521
"191",29.559999,29.77,29.440001,29.709999,37868000,22.075703
"192",29.889999,29.99,29.73,29.84,45012300,22.1723
"193",29.66,29.85,29.6,29.84,30265400,22.1723
"194",30.030001,30.389999,30,30.1,63603100,22.365492
"195",30.040001,30.370001,30.030001,30.23,32251500,22.462086
"196",30.299999,30.629999,29.790001,29.91,50788400,22.224312
"197",30.030001,30.4,29.950001,30.17,31121100,22.417509
"198",30.1,30.33,30,30.040001,47150500,22.320911
"199",30.24,30.58,30.23,30.32,56286200,22.528965
"200",30.75,31.23,30.65,31.08,86092400,23.093666
"201",31.219999,31.23,30.629999,31.16,49208600,23.153116
"202",31.09,31.09,30.110001,30.17,75200200,22.417509
"203",30.120001,30.700001,30.120001,30.51,58785100,22.670137
"204",30.709999,31.120001,30.709999,30.9,49956200,22.959921
"205",30.85,31.299999,30.5,31.25,77979200,23.219992
"206",31.57,32.220001,31.49,31.99,169588700,23.76984
"207",36.009998,36.029999,34.560001,35.029999,288121200,26.028677
"208",34.849998,35.290001,34.450001,34.57,114655600,25.686876
"209",34.369999,35.59,34.349998,35.57,107297300,26.429916
"210",35.52,37,35.509998,36.810001,185635800,27.351294
"211",36.529999,37.490002,36.360001,37.060001,152078800,27.537043
"212",37.220001,37.5,36.419998,37.060001,96389800,27.537043
"213",36.759998,37.099998,36.630001,36.73,75485400,27.291838
"214",36.59,36.66,35.869999,36.41,100966700,27.054077
"215",36.040001,36.16,35.450001,35.52,74897800,26.392767
"216",35.599998,35.900002,34.400002,34.740002,133742400,25.813194
"217",34.18,34.540001,33.650002,33.73,125136900,25.062725
"218",33.32,33.709999,33.02,33.380001,84865200,24.802656
"219",33.540001,34.669998,33.380001,34.459999,104311500,25.689798
"220",34.619999,34.75,33.75,33.93,84063100,25.294685
"221",33.759998,34.099998,33.549999,33.759998,64014100,25.16795
"222",33.860001,34.259998,33.709999,34.09,71113800,25.413971
"223",33.959999,34.240002,33.869999,33.959999,63026200,25.317051
